Topic,Count,Name,Representation,Representative_Docs
-1,279,-1_documented_water_river_2025,"['documented', 'water', 'river', '2025', 'land', '2023', '2024', 'riparian', 'daily', 'april']","['The Daily Nation (April 2025) published the text of the SPA\'s stated purpose: \'The plan will provide a framework for river regeneration, flood hazard mitigation, riparian land use and redevelopment of the land -"" including infrastructure development an', ""Daily Nation (11 September 2023) documented the NEMA report: 'the report from the environmental body has also identified horticultural and coffee plantations in Thika, Ruiru and Matungulu, Kibwezi, Mua, Iveti, Kangundo and Matungulu hills, Coffee factori"", 'The Daily Nation (April 2025) documented that CECM Patrick Mbogo -"" who signed the 6 March 2025 SPA Notice of Intention -"" stated: \'This was part of the request by the Nairobi River Commission. All those who will be affected will be compensated. We a']"
0,633,0_water_commercial_private_local,"['water', 'commercial', 'private', 'local', 'river', 'land', 'conflict', 'community', 'directly', 'lake']","['A major property and spatial layout conflict along the base of the Lukenya Hills. Private real estate firms began expanding residential fence lines into large blocks of land managed by the historic Lukenya Ranching Cooperative Society. The developers cla', 'Private commercial agro-operators along the upper riverine zone of Lodwar installed heavy, diesel-powered suction pumps directly into the shallow sub-surface water channels of the Turkwel River. This heavy abstraction during dry spells depleted local gro', 'A violent water security conflict that erupted along the border streams of Kamulu. Local community self-help groups constructed a series of stone and concrete sand dams to trap seasonal river sand and build up local groundwater reserves for domestic use.']"
1,237,1_land_elc_2025_documented,"['land', 'elc', '2025', 'documented', 'law', 'court', 'daily', '2023', 'daily nation', 'nation']","['The Aimi Ma Lukenya (AML) Association had been embroiled in a fierce court battle with East African Portland Cement Company (EAPCC) management in the Machakos Environment and Land Court over 4,298 acres of land in Athi River. On October 9, 2023, Lady Jus', 'ELC Appeal E003 of 2024 (Musau v Mavoko Land Development Co Ltd, KEN-MCK-088) represents one documented 2024-2025 filing against Mavoko Land Development Company Limited at ELC Machakos. The Daily Nation investigation (May 2026) referenced ongoing court a', 'Kenya Law records ELC Appeal E003 of 2024 (Musau v Mavoko Land Development Co Ltd and another, ruling 17 December 2025) at ELC Machakos before Justice NA Matheka. The case involves Mavoko Land Development Company Limited -"" one of the private land deve']"
2,128,2_2024_floods_documented_people,"['2024', 'floods', 'documented', 'people', 'march', '2026', '2024 documented', 'flooding', 'april', 'march 2026']","[""Al Jazeera (9 March 2026) reported that at least 42 people were killed in floods across Kenya since early March 2026, including 26 in Nairobi. Kenya's Public Service and Special Programmes Minister Geoffrey Ruku confirmed the toll. The floods were trigge"", ""Al Jazeera (9 March 2026) documented: 'At least 42 people have been killed in days of floods across Kenya, the government has said. Heavy rains have triggered flash floods across several regions of the country since Friday. Kenya's Public Service and Spe"", 'Kenya Meteorological Department documented above-normal rainfall associated with El Niño from October 2023 through May 2024. The rains caused flooding in October-November 2023, with additional severe events in March-April 2024. The April 2024 floods w']"
3,76,3_water_documented_company_companies,"['water', 'documented', 'company', 'companies', 'sewerage', 'water sewerage', 'sewerage company', 'company water', 'ii', 'water companies']","['Kiambu County Government documented: nine water companies licensed by Athi Water Services Board -"" including Thika Water and Sewerage Company and Gatundu South Water and Sanitation Company. Both companies operated from 2005-2006 onwards, concentrating', 'The Commission on Administrative Justice (Ombudsman, 2024) documented that four water and sanitation companies -"" Karuri Water and Sanitation Company, Kikuyu Water and Sanitation Company, Ruiru-Juja Water and Sewerage Company, and Limuru Water and Sewe', ""Kiambu County CIDP 2023-2027 documented nine water companies: 'Kiambu Water and Sanitation Company, Ruiru-Juja Water and Sanitation Company, Thika Water and Sewerage Company, Gatundu Water and Sanitation Company, Limuru Water and Sanitation Company, Kiku""]"
4,67,4_river_water_documented_dam,"['river', 'water', 'documented', 'dam', 'town', '2024', 'dams', 'industries', 'january', 'january 2026']","[""Earth Journalism Network and Standard Media (2024) both documented Nathaniel Nganga's statement: 'Athi River was established as an industrial town. As more industries set up, demand for labour went up, which in turn created demand for housing. Rapid indu"", ""Earth Journalism Network (2024) and Standard Media (2024) documented Machakos County Lands CEC Nathaniel Nganga: 'Athi River was established as an industrial town. As more industries set up, demand for labour went up, which in turn created demand for hou"", ""The compaction summary confirmed: 'Athi River ecological collapse: hippopotami and fish gone since ~2017; Azolla blanket; methane; stagnant sewer (Daily Nation January 2026); Daniel Wanjuki photograph December 20 2025.' This Daily Nation January 2026 doc""]"
5,63,5_river_regeneration_rivers_river regeneration,"['river', 'regeneration', 'rivers', 'river regeneration', 'programme', 'launched', 'forest', 'corridor', '2025', 'multiple']","['In March 2025, President William Ruto launched the Nairobi River Regeneration and Engineering Works Programme at an estimated cost of KSh 50 billion (approximately USD 380 million). The programme required the eviction of all residents and businesses with', 'Kenyans.co.ke (December 2025) documented the full components of the KSh 50 billion Nairobi River Regeneration and Engineering Works Programme launched by President Ruto: (1) a 60-km sewer line; (2) 50,000 affordable housing units in reclaimed river-corri', 'Multiple sources including Kenyans.co.ke and Kenya Times confirmed that the KSh 50 billion Nairobi River Regeneration Programme, launched by President Ruto on 10 March 2025, includes the construction of 50,000 affordable housing units in reclaimed river-']"
6,60,6_demolition_riparian_documented_2026,"['demolition', 'riparian', 'documented', '2026', 'voice', 'eastleigh voice', 'eastleigh', '2018', 'august 2018', 'structures']","[""Eastleigh Voice (May 2026) documented that 'Kilimani's Elite Court residents face eviction as Nairobi County's crackdown on riparian land intensifies' and the article referenced 'Kingara Court' alongside Elite Court as structures targeted in the April-Ma"", ""Standard Media, Daily Nation, and ROAPE documented the Ukay Centre demolition. Standard Media (August 2018): 'Friday August 10, the iconic Ukay Centre in Westlands was demolished in the crackdown on buildings and structures which are built on riparian la"", ""Eastleigh Voice (4 May 2026) documented: 'Nairobi Governor Johnson Sakaja confirmed that both Elite Court and Kingara Court have been marked for demolition as part of the ongoing enforcement targeting structures along the Kirichwa Kubwa River. At Kirichw""]"
7,57,7_eviction_residents_evictions_informal,"['eviction', 'residents', 'evictions', 'informal', 'documented', 'settlements', 'informal settlements', 'homes', 'slum', '2024']","[""The African Cities Research Consortium (ACRC, 2024) documented that 'as determined by a high court case in 2013, the state was to develop appropriate legal frameworks for evictions. The Kenyan government failed to do this, leading to a 2018 ruling by the"", 'Amnesty International (2009) documented that approximately 2,000 people had their homes demolished in a mass forced eviction in Raila village in the western part of Kibera in order to provide space for a road bypass. Prior to this eviction, adequate noti', 'Around 2,000 people had their homes demolished in a mass forced eviction in Raila village in the western part of Kibera in order to provide space for a road bypass. Prior to this eviction, adequate notices were not served to the residents, and there were']"
8,24,8_star_documented_2024_star february,"['star', 'documented', '2024', 'star february', '2024 documented', 'february 2024', '29 2024', 'said', 'river', 'human rights']","['The Star (February 2024) documented: \'In April last year, Nairobi Governor Johnson Sakaja said his government is in court battling close to 800 developers.\' This figure -"" 800 active court cases against illegal developers in Nairobi -"" is the most co', ""The Star (7 February 2024) documented: 'According to what is documented in regulations, Kilimani is supposed to be a four-storey zone, but this is a far cry from what is now evident in the said estate.' Resident King Kinyanjui tweeted: 'In the past two y"", ""The Star (7 February 2024) documented the zoning violation context for Kilimani and adjacent zones: 'According to what is documented in regulations, Kilimani is supposed to be a four-storey zone, but this is a far cry from what is now evident in the said""]"
