Record_ID,Original_Record_ID,County,Sub_Location,Date_Start,Date_End,Incident_Summary,Conflict_Type,Conflict_Subtype,Parties_Involved,Full_Text_Description,Source_Name,Source_URL,Data_Source_Type,Latitude,Longitude,Casualties_Reported,Displaced_Persons,Legal_Status,Outcome_Status,NLP_Keywords,Verified,Confidence_Score,Notes
KEN-NBI-001,KEN-NBI-001,Nairobi,Kangemi,3/1/2016,5/31/2016,Nairobi County Government identified illegal structures built on riparian reserves along rivers flowing through Kangemi. Over 2000 plots were identified across the city as encroaching on riparian land. County issued letters to Ministry of Land to revoke,Water-Land,Riparian Encroachment,Nairobi County Government; Residents of Kangemi; Kenya Alliance of Resident Associations (KARA),"In March 2016, the Nairobi County Government announced that approximately 2,000 plots of land in the hands of developers lay on riparian lands within Nairobi. The county wrote to the Ministry of Land to revoke title deeds of those plots. In Kangemi, shan",Daily Nation / Healthy Nation,https://nation.africa/kenya/healthy-nation/nairobi-residents-paying-price-for-land-grabbed-from-raging-rivers-38790,Print/Online News,-1.2741,36.7484,0,Unknown,Active - Ministry of Land notified,Unresolved - title revocation process incomplete,"riparian encroachment, river bank, illegal structures, title deeds, Kangemi, floods, riparian reserve",Yes,0.82,Part of a citywide 2016 enforcement announcement covering 2000 plots. KARA CEO quoted directly.
KEN-NBI-002,KEN-NBI-002,Nairobi,Lavington,3/1/2016,6/30/2016,The Law Society of Kenya sought to stop development on a piece of land along Njumbi Road in Lavington that had been gazetted as a wetland by NEMA and the Water Management Authority.,Water-Land,Wetland Encroachment,Law Society of Kenya; Developer; NEMA; Water Resource Management Authority (WRMA),"In March 2016, the Law Society of Kenya filed a legal challenge to stop the development of a controversial piece of land along Njumbi Road in the Lavington area of Nairobi. The land had been officially gazetted as a wetland by the National Environment Ma",Daily Nation,https://nation.africa/kenya/healthy-nation/nairobi-residents-paying-price-for-land-grabbed-from-raging-rivers-38790,Print/Online News,-1.28,36.78,0,0,Legal Challenge Filed,Ongoing Litigation,"wetland, Lavington, NEMA, gazettement, Law Society, developer, water management, encroachment",Yes,0.8,Case referenced in broader Daily Nation investigation on riparian encroachment in Nairobi (2016).
KEN-NBI-004,KEN-NBI-004,Nairobi,Kilimani,4/1/2023,5/13/2026,Hundreds of residents at Elite Court along Ole Dume Road in Kilimani faced eviction as Nairobi County intensified crackdown on buildings on riparian land. The property was built on a riparian corridor causing repeated flooding.,Water-Land,Riparian Encroachment - Formal Development,Residents of Elite Court; Nairobi County Government; Governor Johnson Sakaja; National Environment Management Authority,Nairobi Governor Johnson Sakaja announced in 2025 that Elite Court along Ole Dume Road in Kilimani was built on a riparian corridor and had experienced repeated flooding as a result. As part of a wider multi-agency operation to restore natural water chan,Eastleigh Voice; Kenyans.co.ke; Daily Nation,https://eastleighvoice.co.ke/news/343948/kilimanis-elite-court-residents-face-eviction-as-nairobi-countys-crackdown-on-riparian-land-intensifies,Online News,-1.291,36.7881,0,300+,Eviction Notice Issued,Ongoing - Legal Action Pending,"Elite Court, Kilimani, riparian, eviction, Ole Dume Road, Sakaja, flooding, Nairobi River Regeneration",Yes,0.9,Directly sourced from recent 2025 news reporting. High confidence.
KEN-NBI-005,KEN-NBI-005,Nairobi,Dagoretti,3/1/2025,12/31/2025,"MP Babu Owino alleged that a riparian eviction programme along the Nairobi River in Dagoretti and Westlands was being used as a cover for land grabbing, with residents being pushed 60 metres from the river instead of the legally required 6-10 metres.",Water-Land,Riparian Eviction - Alleged Land Grab,MP Babu Owino; Nairobi River Basin Development Authority; Westlands Residents; Dagoretti Residents; Private Interests (alleged),"In 2025, President Ruto launched the Nairobi River Regeneration and Engineering Works Programme valued at KSh 50 billion, requiring eviction of residents from riparian corridors. MP Babu Owino raised alarm, alleging that while the law requires displaceme",Kenyans.co.ke,https://www.kenyans.co.ke/news/118604-babu-owino-alleges-plan-grab-riparian-land-amid-nairobi-river-clean-exercise,Online News,-1.28,36.74,0,Unknown,Contested - Political Dispute,Unresolved - Under Public Scrutiny,"Babu Owino, land grab, riparian, Dagoretti, Westlands, Nairobi River, eviction, 60 metres, constitutional rights",Yes,0.85,Directly sourced from Kenyans.co.ke. Allegations unproven but newsworthy.
KEN-NBI-006,KEN-NBI-006,Nairobi,Westlands - Rhapta Road Area,3/1/2025,12/31/2025,Residents along the Nairobi River near Westlands faced eviction as part of the 50-billion-shilling Nairobi River Regeneration Programme. The Nairobi River emerges near James Gichuru Road close to the Westlands-Rhapta area.,Water-Land,Riparian Eviction,Nairobi County Government; Westlands Residents; Nairobi River Basin Authority,"The Nairobi River Regeneration Programme, launched in March 2025, targeted riparian encroachments along the entire Nairobi River course, including the stretch through Westlands near the Rhapta Road area. The river flows from its upper reaches through Dag",Kenyans.co.ke; Standard Media,https://www.kenyans.co.ke/news/118604-babu-owino-alleges-plan-grab-riparian-land-amid-nairobi-river-clean-exercise,Online News,-1.2677,36.8026,0,Unknown,Eviction Notices Issued,Ongoing,"Westlands, Rhapta, Nairobi River, riparian, eviction, regeneration programme, constitutional rights",Yes,0.8,Part of 2025 Nairobi River Regeneration Programme enforcement.
KEN-NBI-008,KEN-NBI-008,Nairobi,Kwanduma Village - Nairobi Dam Area,5/1/2024,5/31/2024,Residents at Kwanduma village at the edge of Nairobi Dam were forcibly evicted following government directives in the wake of April 2024 floods. Civil society groups condemned the evictions as unconstitutional.,Water-Land,Forced Eviction from Riparian Land,Kwanduma Village Residents; Government of Kenya; Human Rights Groups; Civil Society Organizations,"Following deadly floods in late April 2024 that killed dozens across Nairobi, the government ordered evictions of all residents on riparian and flood-prone land. At Kwanduma village near Nairobi Dam, residents were forcibly removed with minimal notice. A",The Standard Media,https://www.standardmedia.co.ke/nairobi/article/2001494577/residents-living-on-riparian-land-cry-foul-over-forceful-eviction,Print/Online News,-1.312,36.818,0,200+,Post-Flood Emergency Eviction,Enforced - Partially Completed,"Kwanduma, Nairobi Dam, eviction, floods 2024, riparian, human rights, civil society",Yes,0.9,Directly sourced from Standard Media May 7 2024 article. High confidence.
KEN-NBI-009,KEN-NBI-009,Nairobi,Citywide (Lavington; Mukuru; Kangemi; Mathare),5/1/2016,5/31/2016,"Nairobi County Government announced that 2,000 plots across the city lie on riparian lands. The NLC tasked with managing public land was cited as having failed to prevent the allocations. City wrote to Ministry of Land to revoke title deeds.",Water-Land,Riparian Encroachment - Multi-Site,Nairobi County Government; National Lands Commission; Ministry of Land; 2000+ Plot Owners,"In May 2016, the Nairobi County Government formally announced there were approximately 2,000 plots of land held by developers that lay on riparian lands across the city. The County stated it had written to the Ministry of Land to revoke the title deeds f",Daily Nation / Healthy Nation,https://nation.africa/kenya/healthy-nation/nairobi-residents-paying-price-for-land-grabbed-from-raging-rivers-38790,Print/Online News,-1.2864,36.8172,0,Unknown,Administrative - Title Revocation Requested,Partially Enforced,"2000 plots, Nairobi, riparian, title deeds, Ministry of Land, NLC, encroachment, citywide",Yes,0.88,Comprehensive citywide announcement. Source directly referenced in Daily Nation 2016 investigation.
KEN-NBI-020,KEN-NBI-020,Nairobi,Huruma,4/24/2024,5/31/2024,"The April 2024 Nairobi floods that killed multiple people in Huruma were followed by contested eviction orders, with residents arguing the land they occupied had been illegally withheld from them for decades.",Water-Land,Flash Flood - Land Tenure Conflict,Huruma Residents; National Government; Nairobi County; Human Rights Organisations,"On April 24, 2024, severe flash floods in Nairobi triggered by heavy rains killed residents in low-lying informal settlements including Huruma. In the aftermath, the government issued eviction orders for all residents on riparian and flood-prone land. In",Standard Media; The Kenya Times,https://www.standardmedia.co.ke/nairobi/article/2001494577/residents-living-on-riparian-land-cry-foul-over-forceful-eviction,Print/Online News,-1.254,36.874,15,500+,Post-Flood Eviction Notice,Enforced - Disputed,"Huruma, floods 2024, eviction, riparian, land tenure, civil society, April 2024, illegal allocation",Yes,0.88,Standard Media and Kenya Times directly cited.
KEN-NBI-025,KEN-NBI-025,Nairobi,Nairobi River - Entire Course,3/1/2025,5/13/2026,Launch of the KSh 50 billion Nairobi River Regeneration and Engineering Works Programme requiring mass eviction of residents along the entire Nairobi River course from Kikuyu to its junction with the Athi River.,Water-Land,Nairobi River Regeneration - Mass Eviction Programme,President William Ruto; Nairobi River Basin Development Authority; Nairobi County; 50000+ Residents along Nairobi River,"In March 2025, President William Ruto launched the Nairobi River Regeneration and Engineering Works Programme at an estimated cost of KSh 50 billion (approximately USD 380 million). The programme required the eviction of all residents and businesses with",Kenyans.co.ke; Eastleigh Voice; Standard Media; Kenya Times,https://www.kenyans.co.ke/news/118604-babu-owino-alleges-plan-grab-riparian-land-amid-nairobi-river-clean-exercise,Print/Online News,-1.287,36.822,0,50000+,Multiple Court Cases Filed,Ongoing - Enforcement and Legal Challenges,"Nairobi River, regeneration, KSh 50 billion, eviction, riparian, Ruto, civil society, 50000 households, Babu Owino",Yes,0.93,Multiple directly sourced articles. Very high confidence.
KEN-NBI-028,KEN-NBI-028,Nairobi,Kasarani - Githurai 44,4/24/2024,5/31/2024,Flash floods in April 2024 killed multiple residents in Githurai 44 area and exposed years of drainage encroachment by developers as the root cause of the deadly flooding.,Water-Land,Flash Flood - Drainage Conflict,Githurai 44 Residents; Nairobi County; Private Developers,"On April 24, 2024, catastrophic flash floods struck multiple parts of Nairobi during extremely heavy rainfall. In Githurai 44, deaths and property destruction were linked by civil engineers to blocked and encroached drainage channels. Multiple developers",Standard Media; Nation Media; Nairobi County,https://standardmedia.co.ke,Print/Online News,-1.176,36.899,10+,500+,Post-Flood Investigation,Enforcement Drive Launched,"Githurai 44, April 2024 floods, drainage, developer, deaths, Nairobi County, encroachment",Yes,0.88,April 2024 floods extensively documented. High confidence.
