Record_ID,County,Date_Start,Incident_Summary,Source_Name
KEN-KBU-020,Kiambu,1/1/2017,A landowner in Thika filed ELC Case 543 of 2017 alleging trespass for construction of a public road on his registered land bordering a river. Defendants alleged the road followed the riparian and road reserve boundary. Judgment delivered 10 June 2021.,Kenya Law Reports
KEN-KBU-020,Kiambu,1/1/2011,"The Manguo Swamp near Limuru in Kiambu County has dried up almost entirely due to encroachment, agriculture, overgrazing, and climate change. This triggered water access conflicts for residents who previously relied on the swamp.",Mongabay; National Museums of Kenya; Limuru Water and Sewerage Co.
KEN-KBU-021,Kiambu,1/1/2019,"Construction of a RJWSC water supply pipeline along the Thika Road corridor in Githunguri, Kiambu passed through private land parcels without fully compensating all affected owners. Several landowners physically resisted the installation.",NLC; RJWSC; Kiambu County
KEN-KBU-021,Kiambu,1/1/2011,"The Ondiri Swamp near Limuru, one of the two study sites for a 2011 Biodiversity journal paper on highland wetland management in Kenya, has experienced sustained encroachment and degradation, reducing its water retention function.",Mongabay; National Museums of Kenya; NEMA
KEN-KBU-022,Kiambu,1/1/2019,"In ELC Case E009/2023, a group of 30 interested parties supported WRA's conservation designation of Lari Swamp while 29 plaintiffs challenged it, revealing a genuine community division between those who favour conservation and those with development plans on titled land.",Kenya Law Reports
KEN-KBU-022,Kiambu,1/1/2004,"Encroachment on the southern Aberdare Forest in Kiambu County by squatters, small-scale farmers, and large tea estates has reduced the water tower's capacity, triggering conflicts over diminishing river flows.",Mongabay; KFS; NEMA; Nation Media
KEN-KBU-023,Kiambu,1/1/2019,A group of 15 downstream farmers filed a High Court petition arguing KWSC's increased Kiambu River abstraction during the 2019 drought violated their registered water allocation permits. Eventually resolved through WRMA mediation.,WRMA; High Court Nairobi; Kiambu County
KEN-KBU-023,Kiambu,1/1/2013,"Smallholder farmers in the Thika-Maragua border zone competed with urban Thika for water abstraction rights from the Maragua River, a tributary of the Tana River, during dry seasons.",WRMA; Nation Media; Tana Water Services Board
KEN-KBU-024,Kiambu,1/1/2018,"Construction of a county government water pan in Githiga area of Gatundu, Kiambu County was challenged by a private individual claiming the land as registered private property. Conflict between community water need and private land rights.",Kiambu County Government; NLC; Nation Media
KEN-KBU-024,Kiambu,1/1/2010,The Baricho irrigation scheme on the Thika River conflicted with Thika town's growing municipal water demand. WRMA favoured domestic use priority. Case proceeded to Water Appeals Board in 2019 and was resolved through a seasonal allocation agreement.,WRMA; Water Appeals Board; Thika-Chania Water Company
KEN-KBU-025,Kiambu,1/1/2015,Tea and smallholder farming communities along Tana River headwaters on the Kiambu-Murang'a border conflict with TAWWDA and WRMA over catchment land use restrictions that limit agricultural activity in the river's protected zone.,WRMA; TAWWDA; Kiambu County; Standard Media
KEN-KBU-025,Kiambu,1/1/2016,"A tea factory in Lari sub-county abstracted river water for tea processing at volumes that reduced domestic water availability for surrounding small farmers and households, triggering WRMA complaints.",WRMA; Kiambu County; Standard Media
KEN-KBU-026,Kiambu,1/1/2016,"Smallholder farming communities encroaching on Ndakaini (Thika) Dam's feeder streams in Kiambu County reduced catchment integrity and contributed to declining dam levels, creating a critical urban-rural water security conflict.",NCWSC; WRMA; Nation Media
KEN-KBU-026,Kiambu,1/1/2021,"Construction of the Northern Bypass highway extension through Ruiru, Kiambu County created drainage disruption conflicts as the road embankment blocked seasonal water flows.",KENHA; Kiambu County; Standard Media
KEN-KBU-027,Kiambu,1/1/2015,"Illegal sand harvesting from the Githiga River in Gatundu, Kiambu lowered the river bed, reduced the local water table, and caused bank erosion and land loss, creating conflicts between sand harvesters, adjacent farmers, and NEMA.",NEMA; Kiambu County; Standard Media; Nation Media
KEN-KBU-027,Kiambu,1/1/2014,Kenya Prisons Service's Kamiti Maximum Security Prison abstracting large water volumes from local boreholes in Kiambu created water access conflicts with surrounding communities experiencing water shortage.,WRMA; Kiambu County; Nation Media
KEN-KBU-028,Kiambu,1/1/2013,"Farmers along the Sagana Road corridor in Thika built unauthorized diversion structures on seasonal rivers, reducing water flows used by downstream communities and creating conflicts arbitrated by WRMA.",WRMA; Tana Water Services Board; Standard Media
KEN-KBU-028,Kiambu,1/1/2019,"Proliferation of unregulated private boreholes in rapidly urbanising Kinoo, Kikuyu Sub-County, Kiambu supplied water of unverified quality, creating conflicts between residents, borehole operators, and public health authorities. A 2022 cholera outbreak heightened tensions.",KEBS; NEMA; Kiambu County Public Health; Nation Media
KEN-KBU-029,Kiambu,1/1/2015,"Rapid apartment construction along Kiambu Road from Githurai to Ruiru drove extensive borehole drilling that collectively depleted the shared aquifer, creating community water access conflicts.",WRMA; Mongabay; Nation Media
KEN-KBU-029,Kiambu,1/1/2020,"A squatter community of over 200 families in Kalimoni, Thika, living adjacent to the Thika River's riparian zone, faced dual eviction pressure from both a private developer claiming a title deed and the county government seeking to restore the riparian reserve.",NLC; ELC Thika; Nation Media
KEN-MCK-022,Machakos,1/1/2021,"ELC Machakos dismissed Aimi Ma Lukenya's case over 4298 acres of EAPCC land on 9 October 2023. An 11-day government demolition operation followed, displacing hundreds of families. Governor Wavinya Ndeti publicly condemned the demolitions as inhumane.",The Star; Daily Nation; Standard Media
KEN-MCK-022,Machakos,1/1/2014,"Seasonal wetlands in the Syokimau area of Mavoko were converted to real estate developments, causing flooding and water table decline in an area experiencing rapid urbanization.",NEMA; Machakos County; Standard Media
KEN-MCK-023,Machakos,9/6/2024,"On 6 September 2024 bulldozers demolished structures of several families on NSSF Staff Pension Scheme land at Katani, Mavoko following a court order. Police kept vigil during the demolitions.",The Star
KEN-MCK-023,Machakos,1/1/2018,Communities practicing flood-recession agriculture on the Athi River floodplain in Kangundo contested restrictions imposed after government water management plans attempted to regulate floodplain use.,WRMA; NLC; Nation Media
KEN-MCK-024,Machakos,1/1/2017,"A commercial borehole drilled for a hotel in Nzambani area of Mutomo depleted the aquifer feeding several community boreholes, triggering community protests and WRMA enforcement.",WRMA; Machakos County; Standard Media
KEN-MCK-024,Machakos,1/1/2021,A land cartel backed by powerful political and business figures in Mavoko blocked legitimate landowners from accessing their property. NIS briefs identified foreign financing. The Daily Nation exposed the scheme in February 2023.,Daily Nation
KEN-MCK-025,Machakos,1/1/2017,"The Nol Turesh pipeline, drawing water from Mt. Kilimanjaro in Kajiado County, serves Machakos and Makueni counties. Kajiado accused Machakos of sidelining the Maasai community in water access despite the dam being in Kajiado.",Academic Study (Githaiga & Muchiri 2017); Journal of CMSD; Nation Media
KEN-MCK-025,Machakos,1/1/2021,"Syokimau Developers and Business Association petitioned the Machakos County Assembly seeking protection of ownership of parcels LR No. 13323/1 to 13323/124, disputed by a rival association claiming the land is public utility land.",Daily Nation
KEN-MCK-026,Machakos,2/9/2017,54 plaintiffs filed ELC Machakos Case 227/2017 against EPZA and KMC over two large land parcels in Athi River. Court ordered plaintiffs to vacate LR No. 10281 within 90 days from October 2024.,Daily Nation
KEN-MCK-026,Machakos,1/1/2016,"Inadequate piped water supply in rapidly growing Mlolongo, Machakos County created a dominant private water tanker ecosystem. Conflicts arose over tanker water pricing, borehole licensing, and impact on community groundwater.",WRMA; Mavoko Water; Standard Media
KEN-MCK-027,Machakos,1/1/2012,"Squatters settled on land within the Yatta Irrigation Scheme in Machakos County, competing with scheme farmers for water and land. NIA attempted multiple evictions. Court injunctions were sought by squatters.",NIA; Machakos ELC; Standard Media
KEN-MCK-027,Machakos,12/10/2023,A tractor was observed digging trenches on a disputed 10-acre parcel near Daystar University in Athi River on 10 December 2023. Residents accused rogue police of complicity in land grabbing.,Standard Media
KEN-MCK-028,Machakos,1/1/2015,"Siltation of Mwania Dam in Machakos County caused by upstream agricultural activity reduced the dam's water storage, triggering conflict between dam users and upstream farming communities.",Machakos County Water Department; Standard Media
KEN-MCK-028,Machakos,1/1/2016,"EAPCC issued a public buyer beware warning in 2016 that buyers should not purchase land within its registered 4,298-acre parcel. Despite the warning, thousands continued to buy from brokers, leading to the 2023 demolitions.",The Star
KEN-MCK-029,Machakos,4/1/2023,"Seasonal flash floods along the Athi River in April 2023 affected informal settlements that had encroached on the river floodplain near Athi River town, prompting renewed calls for riparian enforcement in Machakos.",Machakos County; NDMU; Standard Media
KEN-MCK-029,Machakos,1/1/2010,"Effluent from the Athi River Industrial Zone contaminated the Athi River, destroying irrigation water quality for downstream Mavoko farmers and creating land use conflicts near the contaminated river corridor.",NEMA; WRMA; GRIN Study; Standard Media
KEN-MCK-030,Machakos,1/1/2018,The Ruiru II Dam project and associated water transfer infrastructure in the Kiambu-Machakos boundary zone generated land acquisition and water rights conflicts with communities in the catchment area.,Huduma Global; NLC; AWWDA; Nation Media
KEN-MCK-030,Machakos,1/1/2014,"Siltation of community water pans on the Yatta Plateau in Machakos due to upstream land clearing and poor catchment management reduced water storage capacity, creating conflicts over water availability and desilting responsibility.",NWCPC; Machakos County; Nation Media
KEN-MCK-031,Machakos,1/1/2018,Construction of the Thwake Multipurpose Dam on the Thwake River in Makueni County impacts Machakos County communities through catchment area land use restrictions and water allocation questions.,Huduma Global; NLC; AWWDA; Nation Media
KEN-MCK-031,Machakos,1/1/2020,"A private developer in Kinanie, Machakos County destroyed an irrigation furrow serving 45 smallholder farming families by erecting a perimeter wall across its path. County mediation led to a culvert being installed, only partially resolving the problem.",Machakos County Irrigation Department; Sub-County Administration
