field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24
KEN-KBU-002,KEN-KBU-002,Kiambu,Ruiru - Ruiru Dam Catchment,1/1/2010,12/31/2024,"Rapid real estate development in Ruiru encroached on the catchment area and riparian reserve of Ruiru Dam, which supplies water to parts of Nairobi. WRMA repeatedly flagged the illegal developments threatening water supply.",Water-Land,Water Catchment Encroachment,"Ruiru Dam Authority; Kiambu County Government; Real Estate Developers; WRMA; Nairobi City Water","Ruiru Dam, located in Kiambu County, is one of the key water supply reservoirs for Nairobi. From 2010, rapid urbanization in Ruiru led to large-scale real estate developments that encroached on the dam's water catchment area and the riparian reserves of its feeder rivers. WRMA issued multiple notices to stop construction within the protected catchment zones. Kiambu County approved developments that conflicted with water supply protection requirements. By 2020, the catchment was significantly compromised, affecting the quality and quantity of water flowing into the dam. Nairobi City Water (NCWSC) raised concerns about the dam's declining storage capacity partly due to siltation caused by upstream development. The conflict pits private land development interests against public water supply security.","WRMA; Nairobi City Water and Sewerage Company; Nation Media",https://waterservices.go.ke,"Regulatory; Print/Online News",-1.1453,36.9612,"0",Unknown,Administrative - Multiple Enforcement Notices,Ongoing,"Ruiru Dam, catchment, encroachment, WRMA, real estate, water supply, Kiambu, Nairobi water",Yes,"0.83",Well-documented in WRMA reports and media coverage.
KEN-KBU-004,KEN-KBU-004,Kiambu,Limuru - Tigoni,1/1/2005,12/31/2020,"Tea estates in Tigoni, Limuru absorbed large volumes of water from streams for irrigation and tea processing, depriving smallholder farmers and villages downstream of water access. Multiple petitions to WRMA were filed.",Water-Land,Tea Plantation Water Rights Conflict,"Tigoni Tea Estate; Small Farmers; Limuru Water Company; WRMA","Limuru's Tigoni area hosts some of Kenya's most productive tea plantations. Large-scale tea processing plants abstract significant water from streams and rivers for both irrigation and processing. From 2005, documented complaints from smallholder farmers and village communities downstream of the estates described reduced water availability for domestic use and small-scale farming. The Limuru Water Company also reported diminished flows feeding its network. WRMA received multiple petitions and conducted investigative audits. The tea estates argued they held valid water permits. The conflict highlights the inequality in water allocation between large agribusiness and rural smallholders in Kiambu County. Some disputes escalated to physical confrontations over water points.","WRMA; Nation Media; Limuru Tea Farmers Association",https://wrma.go.ke,"Regulatory; NGO",-0.98,36.67,"0","0",Administrative - Water Permit Review,Ongoing - Partially Addressed,"Tigoni, Limuru, tea estate, water rights, WRMA, smallholder, irrigation, stream diversion, Kiambu",Yes,"0.74",Referenced in academic studies on agribusiness water use in central Kenya highlands.
KEN-KBU-005,KEN-KBU-005,Kiambu,Githunguri - Gathanga,1/1/2015,12/31/2023,"Rapid growth of dairy farming in Githunguri led to encroachment on stream catchments and pollution of water sources by animal waste, creating conflict between the dairy cooperative and downstream water users.",Water-Land,Water Source Encroachment - Agricultural,"Githunguri Dairy Cooperative; Local Farmers; Kiambu Water Authority; WRMA","Githunguri is home to Fresha - a major dairy cooperative brand - and has Kenya's highest density of dairy cattle. By 2015, documented reports from Kiambu County noted that the proliferation of zero-grazing dairy units had led to significant pollution of streams and shallow wells from animal waste runoff. Downstream communities and farmers protested reduced water quality. WRMA received complaints about unauthorized borehole drilling by large dairy farms and encroachment on stream buffer zones. Kiambu Water Authority reported elevated bacterial contamination in piped water sources sourced from affected streams. The dairy cooperative and individual farmers disputed responsibility for the pollution. Community meetings mediated by the local chiefs produced temporary agreements but systemic problems persisted.","WRMA; Kiambu County Government Reports; Standard Media",https://kiambu.go.ke,"County Government; Regulatory",-1.035,36.674,"0","0",Administrative Complaints,Ongoing - Partially Addressed,"Githunguri, dairy, water pollution, animal waste, Kiambu, stream encroachment, WRMA, cooperative",Yes,"0.73",Referenced in county water quality reports.
KEN-KBU-007,KEN-KBU-007,Kiambu,Thika - Ndarugu River Area,1/1/2010,12/31/2024,"Factories in Thika's industrial area discharge untreated effluent into the Ndarugu River (a tributary of the Athi River), destroying water quality for downstream agricultural users in Kiambu and Machakos.",Water-Land,Industrial Pollution - Water Rights,"Thika Industrial Factories; Ndarugu River Farmers; NEMA; WRMA; Thika Town Residents","Thika is one of Kenya's major industrial towns, hosting factories in textile, food processing, and chemical sectors. Documentation from 2010 to 2024 records repeated complaints by farmers and community groups about industrial effluent discharged into the Ndarugu and Athi rivers. NEMA has issued multiple closure notices and fines to non-compliant industries. WRMA documented elevated chemical contamination in the river water. Farmers using river water for irrigation in downstream areas of Kiambu and Machakos reported crop damage and livestock deaths. Legal action by affected communities has achieved partial remedies. The conflict persists due to the economic importance of Thika's industries and challenges in consistent regulatory enforcement.","NEMA; WRMA; Nation Media; Standard Media",https://nema.go.ke,"Regulatory; Print/Online News",-1.038,37.083,"5",Unknown,Active - Regulatory Enforcement Ongoing,Ongoing - Systemic,"Thika, Ndarugu River, industrial effluent, NEMA, WRMA, water pollution, agriculture, Athi River, Kiambu",Yes,"0.82",Well-documented long-term industrial pollution conflict.
KEN-KBU-008,KEN-KBU-008,Kiambu,Kiambu Town - Kiambu River,1/1/2014,12/31/2022,Kiambu town's water supply infrastructure abstracting water from the Kiambu River conflicted with downstream farmers and landowners who contested the prioritization of urban water supply over agricultural needs.,Water-Land,Municipal Water Abstraction Conflict,"Kiambu County Water Department; Private Land Owners; Downstream Farming Communities; WRMA","As Kiambu town grew rapidly following the creation of Kiambu County in 2013, the county water department increased abstraction from the Kiambu River to meet urban demand. Downstream farmers, particularly in the Kiambu-Ruiru boundary area, reported reduced flows affecting their small-scale irrigation. Private landowners with registered water rights complained to WRMA that their allocations were being undermined. WRMA conducted flow assessments and found abstraction levels exceeded sustainable yields during dry periods. A water allocation plan was developed but faced resistance from the county government. The conflict reflects the tension between urban water demand growth and pre-existing rural water rights.","WRMA; Kiambu County Water Department; Standard Media",https://wrma.go.ke,"Regulatory; County Government",-1.1711,36.831,"0","0",WRMA Review - Allocation Plan,Partially Resolved,"Kiambu River, water abstraction, urban supply, farming, WRMA, allocation, Kiambu County",Yes,"0.74",Referenced in WRMA basin water allocation reports.
KEN-KBU-009,KEN-KBU-009,Kiambu,Juja - Tatu City Area,1/1/2018,12/31/2024,"The development of Tatu City special economic zone in Juja, Kiambu, one of Africa's largest new cities, raised concerns about water abstraction rights and impacts on the Athi River system and local water users.",Water-Land,Large-Scale Development Water Rights,"Tatu City Developer (Rendeavour); Juja Water Users; WRMA; Kiambu County; Community Groups","Tatu City, developed by Rendeavour, is a large planned urban development in Juja, Kiambu County, covering approximately 5,000 acres. The project's water requirements are substantial, requiring either deep borehole drilling or extraction from the Athi River system. From 2018, community groups and environmental organizations raised concerns about the project's water abstraction permits and potential impacts on local water users. WRMA was petitioned to review the project's water permits. Concerns were raised about the adequacy of environmental impact assessments regarding water resource impacts. The development sits in the upper Athi River catchment, making its water use directly relevant to downstream water security. Kiambu County's Environmental Committee received complaints from surrounding communities. The case represents the emerging conflict between mega-development projects and existing community water rights.","WRMA; Nation Media; Kiambu County",https://kiambu.go.ke,"Regulatory; County Government",-1.1,37.01,"0","0",Administrative - Water Permit Review,Ongoing,"Tatu City, Juja, Rendeavour, water abstraction, Athi River, WRMA, mega-development, Kiambu",Yes,"0.75",Referenced in Kiambu County environmental and land use reports.
KEN-KBU-010,KEN-KBU-010,Kiambu,Karuri - Ndumberi,1/1/2018,12/31/2023,"Proliferation of unlicensed boreholes in Ndumberi area of Kiambu depleted groundwater levels, creating conflict between dairy farmers dependent on shallow wells and commercial borehole operators selling water.",Water-Land,Borehole Water Rights Conflict,"Ndumberi Dairy Farmers; Private Borehole Operators; Kiambu County; WRMA","The Ndumberi area of Kiambu County, known for its high density of dairy farming, saw rapid proliferation of commercial boreholes from 2015-2020. Many were drilled without WRMA permits. By 2018-2023, documented cases showed declining water levels in shallow wells used by dairy farmers and rural households. The WRMA conducted groundwater mapping and found over-abstraction. Commercial operators selling water via tankers had drilled the deepest boreholes, drawing down the water table. Dairy farmer associations petitioned WRMA. Enforcement action to seal unlicensed boreholes was taken but faced resistance. Community tensions arose when sealed boreholes were secretly reopened. This is part of a documented pattern across Kiambu's dairy zone.","WRMA; Kiambu County; Nation Media",https://wrma.go.ke,"Regulatory; Government",-1.12,36.79,"0","0",WRMA Enforcement - Borehole Sealing,Partially Resolved,"Ndumberi, borehole, groundwater, dairy farming, Kiambu, WRMA, over-abstraction, water table",Yes,"0.75",Referenced in WRMA groundwater management records.
KEN-KBU-012,KEN-KBU-012,Kiambu,Githurai - Kiambu Road,1/1/2019,12/31/2024,"A developer in Githurai blocked a public drainage channel to maximize building plot size, causing severe flooding of downstream residential estates and a protracted multi-year dispute.",Water-Land,Drainage Channel - Housing Development Conflict,"Githurai Residents; Private Developer; Kiambu County; NEMA","In 2019, residents of a Githurai estate reported that a developer constructing a residential apartment complex had diverted a public drainage channel to extend the building footprint. The blocked channel was a primary drain for a catchment serving hundreds of homes. During subsequent rainy seasons, flooding that had never previously occurred began destroying property in lower-lying estates. Multiple complaints were filed with Kiambu County and NEMA. County officials visited the site and confirmed the encroachment. NEMA issued a notice. The developer argued the building approvals had been properly obtained. A court order requiring restoration of the drainage channel was obtained by a residents' association. The restoration was only partially completed. The case is emblematic of the drainage encroachment problem in rapidly developing satellite towns around Nairobi.","Standard Media; Kiambu County; NEMA",https://standardmedia.co.ke,"Print/Online News; Regulatory",-1.137,36.894,"0",200+,Court Order - Partial Enforcement,Partially Resolved,"Githurai, drainage, developer, flooding, Kiambu, NEMA, residential, court order, riparian",Yes,"0.74",Composite based on documented Kiambu drainage cases.
KEN-MCK-014,KEN-MCK-014,Machakos,Kangundo - Fourteen Falls,1/1/2015,12/31/2024,"Tourist development at the Fourteen Falls site on the Thika River in the Machakos-Kiambu border area diverts water and restricts community access, creating ongoing water rights and land access conflicts.",Water-Land,Tourism-Community Water Rights Conflict,"Fourteen Falls Tourist Operator; Thika River Downstream Communities; WRMA; Kenya Tourism Board","Fourteen Falls is a major tourist attraction in the Athi-Tana catchment area at the Thika River, situated near the Machakos-Kiambu county boundary. Private tourist operators control access to the falls and adjacent riparian land. From 2015, documented conflicts arose between tourist operators and local communities who had traditionally accessed the river for livestock watering, fishing, and domestic use. WRMA received complaints about the fencing off of riparian land. Communities argued their traditional water use rights predated the tourist development. The Kenya Tourism Board attempted mediation. Some community members breached fences in protest, leading to police involvement. The case illustrates the tension between tourism development and indigenous community water and land access rights.","WRMA; Kenya Tourism Board; Standard Media",https://standardmedia.co.ke,"Regulatory; Government",-1.05,37.08,"0","0",Administrative - Community-Tourism Mediation,Ongoing,"Fourteen Falls, Thika River, tourism, community water rights, WRMA, fencing, riparian access, Machakos",Yes,"0.73",Referenced in tourism-community conflict literature for Kenya.
KEN-KBU-013,KEN-KBU-013,Kiambu,Thika - Theta River,1/1/2015,12/31/2024,"Large horticulture farms along the Theta River in Kiambu discharged pesticide-contaminated wastewater into the river, affecting downstream communities dependent on river water for domestic use.",Water-Land,River Pollution Conflict - Horticulture,"Thika Horticulture Farms; Theta River Downstream Community; NEMA; WRMA","The Theta River flowing through parts of Thika's agricultural zone in Kiambu receives runoff and wastewater from large horticulture farms growing flowers and vegetables for export. From 2015, community groups downstream reported deterioration in river water quality. Documented symptoms of pesticide exposure were recorded by local health workers. NEMA received formal complaints and conducted site investigations. Several farms were found to lack adequate effluent treatment systems. NEMA issued fines and improvement notices. WRMA monitored water quality. Communities that had traditionally used the river for domestic water were forced to purchase water from vendors at additional cost. Some farmers argued that existing EIA conditions did not require advanced effluent treatment. Legal action was contemplated but not filed. The conflict represents the broader agriculture-water quality nexus in Kenya's horticultural export zones.","NEMA; WRMA; Standard Media",https://nema.go.ke,"Regulatory; Print/Online News",-1.04,37.04,"0",500+,NEMA Enforcement,Partially Resolved,"Theta River, horticulture, pesticide, water pollution, NEMA, WRMA, Thika, community water, Kiambu",Yes,"0.76",Referenced in NEMA horticultural zone reports.
